name,email,phone,links,role,skills,education,experience_years,summary
Victor Johnson,yelzvgeg@email.com,"+1 3893290193
",https://linkedin.com/in/pnrwlszkrn; https://github.com/hpddoxtrri,Computer Vision Engineer,sql; tableau; power bi; r; mysql; machine learning; statistics; hadoop; git; docker; computer vision; seaborn; model evaluation; model deployment; fastapi,Bachelor of Science in Software Engineering,8,"A dedicated and results-driven Computer Vision Engineer with over 8 years of experience in
data analysis, machine learning, and predictive modeling. Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-world
problems through data-driven approaches and delivering measurable outcomes."
Henry Clark,qlaocfjj@email.com,"+1 1267063192
",https://linkedin.com/in/viandmaywr; https://github.com/ufncximpyz,Data Strategist,tableau; power bi; r; machine learning; statistics; big data; hadoop; git; docker; model deployment,Master of Science in Geospatial Data Science,8,"A dedicated and results-driven Data Strategist with over 8 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Tom Nguyen,jhtnftmt@email.com,"+1 3992267273
",https://linkedin.com/in/bqzjlvrxlo; https://github.com/bjyfxlgryh,Data Strategist,tableau; power bi; r; pandas; numpy; excel; machine learning; statistics; data visualization; git; docker; feature engineering; model deployment; data ethics; fastapi,,6,"A dedicated and results-driven Data Strategist with over 6 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Vanessa Campbell,ukomfntb@email.com,"+1 7349977959
",https://linkedin.com/in/dgyzvrnfoj; https://github.com/eiyjhumhok,Data Journalist,sql; tableau; power bi; r; mysql; machine learning; statistics; hadoop; git; docker; data cleaning; natural language processing; model deployment,Bachelor of Science in Mathematics,9,"A dedicated and results-driven Data Journalist with over 9 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Yolanda Roberts,xbpjtkvd@email.com,"+1 5002187947
",https://linkedin.com/in/jjqjyzvojh; https://github.com/qdoucivfna,Data Analytics Lead,tableau; power bi; r; pandas; machine learning; deep learning; statistics; big data; git; docker; computer vision; etl pipelines; model deployment; mlops; data ethics,Master of Science in Computer Science,3,"A dedicated and results-driven Data Analytics Lead with over 3 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Liam Phillips,ncqqntrs@email.com,"+1 1525406530
",https://linkedin.com/in/bfbcwdgncv; https://github.com/rtcnppjshl,Operations Analyst,tableau; power bi; r; pandas; c++; machine learning; statistics; big data; git; docker; computer vision; model deployment; data lakes; data governance,Master of Science in Statistics,9,"A dedicated and results-driven Operations Analyst with over 9 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Sophia Brown,ciwoedxa@email.com,"+1 8299964420
",https://linkedin.com/in/ljiyjwnhjx; https://github.com/cutzrdqrbn,Operations Analyst,python; tableau; power bi; r; machine learning; statistics; git; docker; kubernetes; aws; model evaluation; model deployment,Bachelor of Science in Computational Mathematics,3,"A dedicated and results-driven Operations Analyst with over 3 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Zach Lewis,sfzharpj@email.com,"+1 2322368103
",https://linkedin.com/in/xjofwzewnz; https://github.com/wiqeoibikh,Data Scientist,tableau; power bi; r; java; c++; machine learning; statistics; git; docker; data cleaning; computer vision; model deployment; eda; fastapi,,4,"A dedicated and results-driven Data Scientist with over 4 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
George Young,zymlzaed@email.com,"+1 7072002383
",https://linkedin.com/in/rhkngrnlfc; https://github.com/igwvdsbmra,Business Analyst,tableau; power bi; r; machine learning; statistics; git; docker; matplotlib; etl pipelines; model deployment; a/b testing; bayesian inference,Master of Science in Computational Statistics,7,"A dedicated and results-driven Business Analyst with over 7 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Samantha Jones,kbdoybiy@email.com,"+1 8817821525
",https://linkedin.com/in/kacdndnyym; https://github.com/nvudrzttpj,Ai Product Manager,sql; tableau; power bi; r; postgresql; machine learning; statistics; git; docker; computer vision; model deployment; data lakes,Master of Science in Quantitative Finance,9,"A dedicated and results-driven AI Product Manager with over 9 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
George Turner,wpdwjx@email.com,"+1 0030758979
",https://linkedin.com/in/yhzcxwwgmd; https://github.com/kvvqjtkuuu,Research Scientist,tableau; power bi; r; pandas; machine learning; statistics; spark; git; docker; model deployment; eda; dask,Bachelor of Science in Articial Intelligence,7,"A dedicated and results-driven Research Scientist with over 7 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Isla Young,hmyarzgs@email.com,"+1 1516663008
",https://linkedin.com/in/adyjtcymgc; https://github.com/btucigpkge,Fraud Analyst,python; tableau; power bi; r; machine learning; deep learning; statistics; git; docker; seaborn; matplotlib; google cloud platform (gcp); model evaluation; model deployment; hugging face; fastapi,Master of Science in Quantitative Finance,14,"A dedicated and results-driven Fraud Analyst with over 14 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Penelope Thomas,powzxwqj@email.com,"+1 7640849332
",https://linkedin.com/in/gipteacpfn; https://github.com/ivajgdgsqf,Data Engineer,tableau; power bi; r; machine learning; statistics; big data; git; docker; plotly; model deployment; data ethics; hugging face,Bachelor of Science in Data Engineering,3,"A dedicated and results-driven Customer Insights Analyst with over 3 years of experience in
data analysis, machine learning, and predictive modeling. Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-world
problems through data-driven approaches and delivering measurable outcomes."
Quinn Nelson,cqgwhrvf@email.com,"+1 4096195973
",https://linkedin.com/in/ccgjdykynf; https://github.com/akxpdhuhqr,Decision Scientist,sql; tableau; power bi; r; postgresql; machine learning; statistics; data mining; git; docker; computer vision; plotly; model deployment; data lakes; eda; dask,Master of Science in Computer Vision,9,"A dedicated and results-driven Decision Scientist with over 9 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Charlie Collins,tgnkkjnw@email.com,"+1 2717440236
",https://linkedin.com/in/nvmrwspmdm; https://github.com/ekdwttvbkl,Growth Analyst,tableau; power bi; r; machine learning; statistics; git; docker; matplotlib; model deployment; data ethics; eda,Bachelor of Science in Data Management,15,"A dedicated and results-driven Growth Analyst with over 15 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Fiona Torres,ubhfnthc@email.com,"+1 6399663158
",https://linkedin.com/in/pszdqeotlm; https://github.com/pzcdie,Personalized Systems Specialist,tableau; power bi; r; numpy; excel; machine learning; statistics; data mining; big data; git; docker; model deployment; data lakes; bayesian inference; fastapi,Master of Science in Predictive Analytics,14,"A dedicated and results-driven Personalized Systems Specialist with over 14 years of experience
in data analysis, machine learning, and predictive modeling. Skilled in transforming business needs
into technical solutions using modern data science tools and practices. Passionate about solving
real-world problems through data-driven approaches and delivering measurable outcomes."
Ursula Campbell,xbjivggz@email.com,"+1 0182349938
",https://linkedin.com/in/cfxpypvuna; https://github.com/rvhyyigeem,Data Analyst,tableau; power bi; r; machine learning; statistics; data visualization; git; docker; aws; model deployment; data ethics,,15,"A dedicated and results-driven Data Analyst with over 15 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Riley Allen,wurskbpt@email.com,"+1 8076671969
",https://linkedin.com/in/vwdksmwmib; https://github.com/nclqmqmweo,Knowledge Graph Engineer,tableau; power bi; r; machine learning; statistics; git; docker; natural language processing; seaborn; etl pipelines; feature engineering; model deployment,Bachelor of Science in Industrial Engineering,11,"A dedicated and results-driven Knowledge Graph Engineer with over 11 years of experience in
data analysis, machine learning, and predictive modeling. Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-world
problems through data-driven approaches and delivering measurable outcomes."
Yolanda Young,vgvggzds@email.com,"+1 8986850426
",https://linkedin.com/in/ofahjoedvw; https://github.com/jitfdnckun,Data Analyst,python; tableau; power bi; r; numpy; excel; c++; machine learning; statistics; git; docker; seaborn; matplotlib; model deployment; a/b testing,Bachelor of Science in Computational Mathematics,5,"A dedicated and results-driven Healthcare Data Analyst with over 5 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Penelope Martin,hhnvnkcz@email.com,"+1 4660636602
",https://linkedin.com/in/mbrbzrsbyy; https://github.com/wkveqwfose,Data Analyst,sql; tableau; power bi; r; scikit-learn; mysql; excel; machine learning; statistics; data mining; git; docker; data cleaning; model deployment,,4,"A dedicated and results-driven Geospatial Data Analyst with over 4 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Karen Garcia,nqautomw@email.com,"+1 6244627751
",https://linkedin.com/in/iirlleqyea; https://github.com/peedlalhfm,Data Scientist,tableau; power bi; r; java; machine learning; statistics; git; docker; computer vision; model deployment; data lakes; data governance; fastapi,Master of Science in Business Analytics,6,"A dedicated and results-driven Actuarial Data Scientist with over 6 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Charlie Evans,fxfmudka@email.com,"+1 3827244132
",https://linkedin.com/in/osodbfxual; https://github.com/nvhbmliyqz,Data Scientist,sql; tableau; power bi; r; machine learning; statistics; big data; git; docker; kubernetes; aws; model deployment; bayesian inference,Master of Science in Big Data Engineering,12,"A dedicated and results-driven Actuarial Data Scientist with over 12 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
George Miller,pgczwgxp@email.com,"+1 2590329825
",https://linkedin.com/in/sgpshjjbpv; https://github.com/kjzrowtrbu,Data Strategist,python; tableau; power bi; r; scikit-learn; machine learning; deep learning; statistics; spark; git; docker; data cleaning; google cloud platform (gcp); model deployment; fastapi,Bachelor of Science in Computational Mathematics,5,"A dedicated and results-driven Data Strategist with over 5 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
George Edwards,rcsbuxvd@email.com,"+1 0448253964
",https://linkedin.com/in/lkxuwhqyvh; https://github.com/gswmxwlphs,Data Analyst,tableau; power bi; r; scikit-learn; c++; machine learning; statistics; big data; git; docker; computer vision; etl pipelines; model deployment; data lakes; data ethics; bayesian inference,Master of Science in Computer Science,11,"A dedicated and results-driven Marketing Data Analyst with over 11 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Samantha Parker,epbhpefb@email.com,"+1 8449309052
",https://linkedin.com/in/yuprdgyglz; https://github.com/wrjjbqzmpm,Data Engineer,sql; tableau; power bi; r; postgresql; machine learning; statistics; hadoop; spark; git; docker; plotly; model deployment; eda; transformers,Master of Science in Intelligent Systems,6,"A dedicated and results-driven Data Engineer with over 6 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Xavier Taylor,witjviyn@email.com,"+1 9298446136
",https://linkedin.com/in/jbscwngici; https://github.com/yyokfkagdi,Open Source Contributor (Data),sql; tableau; power bi; r; pandas; postgresql; machine learning; deep learning; statistics; git; docker; data cleaning; plotly; azure; model evaluation; model deployment; data ethics,Master of Science in Computational Statistics,15,"A dedicated and results-driven Open Source Contributor (Data) with over 15 years of experience
in data analysis, machine learning, and predictive modeling. Skilled in transforming business needs
into technical solutions using modern data science tools and practices. Passionate about solving
real-world problems through data-driven approaches and delivering measurable outcomes."
Charlie Reed,yydxxrzo@email.com,"+1 2197551918
",https://linkedin.com/in/gpypfhqhfo; https://github.com/qoorkyjauh,Data Analyst,sql; tableau; power bi; r; mysql; machine learning; statistics; git; docker; natural language processing; plotly; model deployment; data ethics,Master of Science in Business Analytics,6,"A dedicated and results-driven Product Data Analyst with over 6 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Noah Walker,txjdlxko@email.com,"+1 4303022178
",https://linkedin.com/in/vahbvfclgv; https://github.com/qhefnwygac,Data Scientist,sql; tableau; power bi; r; pandas; mysql; excel; java; machine learning; deep learning; statistics; git; docker; etl pipelines; model deployment; transformers,,15,"A dedicated and results-driven Actuarial Data Scientist with over 15 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Isla Nelson,haasihqu@email.com,"+1 3038639903
",https://linkedin.com/in/empqyldybb; https://github.com/idfmkekmph,Data Engineer,tableau; power bi; r; pandas; machine learning; statistics; big data; git; docker; kubernetes; model deployment; data governance; hugging face; dask,Master of Technology in AI and Robotics,3,"A dedicated and results-driven Big Data Engineer with over 3 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Uma Evans,ycmceyrr@email.com,"+1 6635630199
",https://linkedin.com/in/e; https://github.com/zezinxpvqg,Customer Insights Analyst,sql; tableau; power bi; r; postgresql; machine learning; statistics; data mining; spark; git; docker; data wrangling; plotly; azure; model deployment; bayesian inference,Bachelor of Science in Articial Intelligence,9,"A dedicated and results-driven Customer Insights Analyst with over 9 years of experience in
data analysis, machine learning, and predictive modeling. Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-world
problems through data-driven approaches and delivering measurable outcomes."
Alice Wright,tfspvfqv@email.com,"+1 0383797812
",https://linkedin.com/in/agvyyrtajr; https://github.com/uadskedczh,Ml Ops Engineer,sql; tableau; power bi; r; pandas; postgresql; machine learning; statistics; data mining; git; docker; model deployment; a/b testing,Master of Science in Business Analytics,5,"A dedicated and results-driven ML Ops Engineer with over 5 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Olivia Mitchell,miaqoeqq@email.com,"+1 7226171152
",https://linkedin.com/in/kfcqxvkdna; https://github.com/ubhiuwjipb,Data Analyst,tableau; power bi; r; numpy; machine learning; statistics; data visualization; big data; git; docker; data cleaning; etl pipelines; model evaluation; model deployment; data lakes; data governance; transformers; fastapi,Bachelor of Engineering in AI and ML,9,"A dedicated and results-driven Geospatial Data Analyst with over 9 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Victor Rogers,wddjrixn@email.com,"+1 7807189026
",https://linkedin.com/in/qufypyvnkn; https://github.com/fmifpxmwxv,Data Consultant,sql; tableau; power bi; r; mysql; postgresql; machine learning; statistics; spark; git; docker; azure; model deployment; a/b testing,Bachelor of Science in Industrial Engineering,10,"A dedicated and results-driven Data Consultant with over 10 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Katie Harris,ehcqwtoq@email.com,"+1 8708650782
",https://linkedin.com/in/totlzttwyk; https://github.com/uibckwvmtc,Decision Scientist,sql; tableau; power bi; r; mysql; machine learning; statistics; big data; git; docker; kubernetes; model deployment; transformers,Bachelor of Science in Industrial Engineering,13,"A dedicated and results-driven Decision Scientist with over 13 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Vanessa Garcia,zzktqgkt@email.com,"+1 0014229526
",https://linkedin.com/in/xzozxwwgle; https://github.com/irybgaqdxs,Ai Engineer,tableau; power bi; r; java; machine learning; statistics; git; docker; matplotlib; plotly; model deployment; bayesian inference; eda,Master of Science in Business Intelligence,14,"A dedicated and results-driven AI Engineer with over 14 years of experience in data analysis, machine
learning, and predictive modeling. Skilled in transforming business needs into technical solutions using
modern data science tools and practices. Passionate about solving real-world problems through data-
driven approaches and delivering measurable outcomes."
Diana Lee,erbnvxqz@email.com,"+1 3822062931
",https://linkedin.com/in/buagzqymux; https://github.com/kthezgpbpl,Data Strategist,tableau; power bi; r; pandas; machine learning; statistics; data mining; git; docker; model evaluation; model deployment; transformers; dask,Master of Science in Intelligent Systems,9,"A dedicated and results-driven Data Strategist with over 9 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Ursula Thomas,ibisqqpc@email.com,"+1 1236329565
",https://linkedin.com/in/nejbsuwiqu; https://github.com/yfhvaejusv,Data Science Instructor,tableau; power bi; r; machine learning; deep learning; statistics; git; docker; data wrangling; etl pipelines; model evaluation; model deployment; fastapi; dask,Bachelor of Arts in Statistics,10,"A dedicated and results-driven Data Science Instructor with over 10 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Liam Phillips,fqzwcfmr@email.com,"+1 7583200505
",https://linkedin.com/in/ixpebpwugv; https://github.com/htgqokuyyi,Analytics Consultant,tableau; power bi; r; numpy; machine learning; statistics; big data; git; docker; natural language processing; azure; model deployment; bayesian inference,Master of Science in Quantitative Finance,8,"A dedicated and results-driven Analytics Consultant with over 8 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Penelope Smith,vkzwpglp@email.com,"+1 2740224857
",https://linkedin.com/in/pzqzkolndx; https://github.com/ryieievanb,Machine Learning Engineer,sql; tableau; power bi; r; postgresql; c++; machine learning; deep learning; statistics; git; docker; matplotlib; etl pipelines; azure; google cloud platform (gcp); feature engineering; model deployment; fastapi,Master of Science in Business Analytics,6,"A dedicated and results-driven Machine Learning Engineer with over 6 years of experience in
data analysis, machine learning, and predictive modeling. Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-world
problems through data-driven approaches and delivering measurable outcomes."
Katie Jones,skpzrhbm@email.com,"+1 1989065219
",https://linkedin.com/in/ysordzimxo; https://github.com/pbgowfjdzf,Data Analyst,tableau; power bi; r; machine learning; statistics; big data; git; docker; plotly; aws; model deployment; data lakes,Bachelor of Science in Articial Intelligence,8,"A dedicated and results-driven Data Analyst with over 8 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Caleb Rogers,scuhdwzm@email.com,"+1 1706033117
",https://linkedin.com/in/gignukxhxg; https://github.com/dxgwmakzim,Data Science Manager,tableau; power bi; r; pandas; machine learning; statistics; git; docker; natural language processing; matplotlib; feature engineering; model evaluation; model deployment; mlops; data lakes; data governance; dask,Bachelor of Arts in Computational Social Science,5,"A dedicated and results-driven Data Science Manager with over 5 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Charlie Phillips,yngxxify@email.com,"+1 5194117947
",https://linkedin.com/in/epemmhjglr; https://github.com/szpvogrupi,Data Journalist,sql; tableau; power bi; r; java; machine learning; statistics; big data; git; docker; natural language processing; matplotlib; model evaluation; model deployment,Bachelor of Science in Information Technology,7,"A dedicated and results-driven Data Journalist with over 7 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Tom Anderson,jacrbmgv@email.com,"+1 2011820456
",https://linkedin.com/in/obeuehsfmq; https://github.com/fyftrcztrf,Research Analyst,python; tableau; power bi; r; java; machine learning; statistics; git; docker; model deployment; eda,Master of Science in Statistics,4,"A dedicated and results-driven Research Analyst with over 4 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Bob Turner,robtgpvt@email.com,"+1 3272698776
",https://linkedin.com/in/sxoipodrjy; https://github.com/kgbtiryvds,Data Journalist,tableau; power bi; r; pandas; machine learning; statistics; big data; git; docker; data wrangling; etl pipelines; model deployment; data ethics; eda; transformers,Bachelor of Science in Computational Mathematics,11,"A dedicated and results-driven Data Journalist with over 11 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Jack Turner,yiuensmg@email.com,"+1 5017445427
",https://linkedin.com/in/vyvuajgaun; https://github.com/xwetwvzrbz,Nlp Engineer,python; tableau; power bi; r; machine learning; statistics; hadoop; git; docker; plotly; aws; model evaluation; model deployment; mlops,Bachelor of Science in Digital Transformation,8,"A dedicated and results-driven NLP Engineer with over 8 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Henry Torres,lnkyaaxl@email.com,"+1 8403466621
",https://linkedin.com/in/vkipbrliub; https://github.com/jtnwbjlrgl,Bi Developer,sql; tableau; power bi; r; postgresql; excel; c++; machine learning; statistics; git; docker; computer vision; plotly; google cloud platform (gcp); model deployment; transformers,Bachelor of Science in Cybersecurity,12,"A dedicated and results-driven BI Developer with over 12 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Zane Collins,enllakou@email.com,"+1 8799901818
",https://linkedin.com/in/pxjtopydil; https://github.com/gxdrfpqysa,Customer Insights Analyst,python; sql; tableau; power bi; r; mysql; machine learning; statistics; git; docker; etl pipelines; aws; model deployment; eda; fastapi,Master of Engineering in Computer Science,14,"A dedicated and results-driven Customer Insights Analyst with over 14 years of experience in
data analysis, machine learning, and predictive modeling. Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-world
problems through data-driven approaches and delivering measurable outcomes."
Wendy Green,aihdivyi@email.com,"+1 1649645125
",https://linkedin.com/in/mtzvohvivn; https://github.com/tohpfnbjpr,Data Engineer,tableau; power bi; r; pandas; machine learning; deep learning; statistics; git; docker; azure; feature engineering; model deployment; mlops,Bachelor of Science in Data Engineering,5,"A dedicated and results-driven Business Intelligence Analyst with over 5 years of experience in
data analysis, machine learning, and predictive modeling. Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-world
problems through data-driven approaches and delivering measurable outcomes."
Toby Taylor,itmsrqqk@email.com,"+1 7138554079
",https://linkedin.com/in/mqvgpzrw; https://github.com/cqngwmkmyw,Data Analyst,sql; tableau; power bi; r; postgresql; machine learning; statistics; data mining; git; docker; aws; model deployment; mlops; eda; dask,Master of Science in Business Analytics,9,"A dedicated and results-driven Geospatial Data Analyst with over 9 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Isla Scott,xvftmquc@email.com,"+1 6252751119
",https://linkedin.com/in/veorwevrhv; https://github.com/qqhwfeucjn,Crm Analyst,tableau; power bi; r; machine learning; statistics; data mining; big data; git; docker; azure; model evaluation; model deployment; eda,,7,"A dedicated and results-driven CRM Analyst with over 7 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Alice Green,eurlonih@email.com,"+1 6979375990
",https://linkedin.com/in/vlmqawhbav; https://github.com/frxdtmyfos,Nlp Engineer,tableau; power bi; r; numpy; scikit-learn; machine learning; statistics; data visualization; git; docker; data cleaning; model deployment; transformers; fastapi,Master of Science in Quantitative Finance,15,"A dedicated and results-driven NLP Engineer with over 15 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Zane Anderson,llayvnpn@email.com,"+1 5691806250
",https://linkedin.com/in/tmwstghrfj; https://github.com/ccaxxqegwk,Bi Developer,python; tableau; power bi; r; machine learning; statistics; data visualization; big data; git; docker; kubernetes; azure; model deployment; fastapi,Master of Science in Information Systems,4,"A dedicated and results-driven BI Developer with over 4 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Olivia Baker,rbzslnax@email.com,"+1 2925123382
",https://linkedin.com/in/ocltbnfolt; https://github.com/ttpoyygtpq,Nlp Engineer,tableau; power bi; r; excel; machine learning; statistics; git; docker; kubernetes; computer vision; plotly; feature engineering; model deployment; mlops; data governance; data ethics; transformers,,6,"A dedicated and results-driven NLP Engineer with over 6 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Katie Harris,kanocfan@email.com,"+1 9017330862
",https://linkedin.com/in/zeodoxcnxh; https://github.com/kxujywhbhw,Data Engineer,tableau; power bi; r; machine learning; statistics; big data; git; docker; data wrangling; aws; azure; model deployment,Master of Science in Computational Statistics,4,"A dedicated and results-driven Big Data Engineer with over 4 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
